Título,Director,Integrantes,Estado,Tipo de proyecto,Descripción,Institución,Fecha de inicio,Fecha de finalización,Enlace,Código
"Experiencias entre la comunidad Sorda argentina y la comunidad
universitaria: Lengua de Señas Argentina y cultura Sorda.","Borzi, Claudia Beatriz",S/D,finalizado,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2017,S/D,
"Crear y re-crear: enseñamos y aprendemos. Prácticas lúdicas y pedagógicas para el fortalecimiento de la lecto-comprensión y producciónde discursos en niños y adolescentes del
Bajo Flores en torno de la diversidad socio-cultural, y su recepción en los entornos áulicos.","Pégolo, Liliana",S/D,finalizado,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2017,S/D,S/D
Formación y prácticas sociales educativas en contexto de encierro: orientación y acompañamiento pedagógico en el penal de Devoto,"Parchuc, Juan Pablo",S/D,finalizado,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2015,2016,S/D,
"Crear y re-crear: enseñamos y aprendemos. Prácticas lúdicas y pedagógicas para el fortalecimiento de la lecto-comprensión y producciónde discursos en niños y adolescentes del
Bajo Flores en torno de la diversidad socio-cultural, y su recepción en los entornos áulicos.","Pégolo, Liliana",S/D,finalizado,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2015,2016,S/D,
"Formación profesional y prácticas sociales educativas en contextos de encierro: educación, cultura y comunicación en Devoto y Ezeiza","Delfino, Silvia",S/D,finalizado,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2015,2016,S/D,
"Multilingüismo en el aula. Diversidad lingüística e inclusión educativa en escuelas públicas de los barrios de Barracas, Nueva Pompeya, Flores y Once de la Ciudad de Buenos Aires. Segunda parte","Courtis, Corina - Ciccone, Florencia

 
","Alfonso, Yago; Brid, Nicolás; Del Dago, María José; Domínguez, Marcelo; Durante, Santiago; Golluscio, Lucía; Gutiérrez, Analía; Juanatey, Mayra; Krojzl, Juan; Murata, Julieta; Niklison, Lucía; Pacor, Paola; Pereyra, Julieta; Remondegui, Mirén; Rodríguez, Mariana Lila",vigente,UBANEX,"A través de la coordinación de prácticas entre Universidad y sociedad, en las que interactúan miembros de la Cátedra de Etnolingüística, estudiantes universitarios, graduados UBA (Letras y Ciencias Antropológicas), docentes y alumnos de las escuelas involucradas, este proyecto se propone, como objetivo general, desarrollar y dar continuidad a una experiencia colaborativa de intervención en el ámbito educativo de la zona sur de la Ciudad de Buenos Aires que contribuya a la visibilización y valoración de la diversidad lingüística y cultural, a la formación de estudiantes universitarios en prácticas comunitarias como así también a la innovación de saberes entre los miembros de la comunidad educativa y otros actores locales, en torno a las problemáticas abordadas.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,S/D,
Escrituras de Dios. Borges y las religiones,"Adur Nobile, Lucas Martín",S/D,vigente,FILO:CyT,"En una famosa nota, recogida en Discusión, Borges ha postulado que “la invención de Dios” es una obra superior a cualquiera de las alcanzadas por los “maestros” de la literatura fantástica. Consecuentemente, es posible afirmar que el escritor consagra numerosos ensayos, poemas y relatos a explorar las posibilidades intelectuales y estéticas -muchas veces paradójicas- de dicha invención. En este sentido, la literatura borgeana dialoga frecuentemente con los discursos que distintas culturas han elaborado acerca de lo divino y, particularmente, con las llamadas “religiones del libro”, es decir, cristianismo, judaísmo e islamismo. Es posible afirmar que ciertos tópicos y núcleos centrales de la poética borgeana, tales como la creación (“Tlön, Uqbar, Orbis Tertius”, “Las ruinas circulares”), la relación entre tiempo y eternidad (“Historia de la eternidad”, “Juan 1, 14”), la culpa y la redención (“Tema del traidor y del héroe”, “La otra muerte”, ) o la posibilidad de nombrar lo Absoluto (“La escritura del Dios”, “Mateo XXV, 30”), por mencionar solo algunos, pueden considerarse también como núcleos centrales del discurso religioso. Si bien existen estudios que indagan la relación de Borges con el judaísmo -y particularmente con la Cábala-, con el cristianismo y -en menor medida- con el Islam (ver A.6), aún son muy escasos los abordajes sistemáticos de la relación de Borges con el discurso religioso, que permitan obtener un balance de los puntos en común y las especificidades en el modo en que el escritor dialoga con las distintas perspectivas sobre lo divino. El presente proyecto aspira a ofrecer una contribución en este sentido, a partir de un análisis de los principales textos donde Borges se refiere explícitamente a las distintas religiones del libro. Se indagarán cuáles son los rasgos fundamentales que destaca de cada una, cuál es el modo en que se posiciona en relación con ellas y de qué forma dialogan con la poética del escritor. Se aspira a presentar, de este modo, una caracterización general de las relaciones de Borges con el discurso religioso, a la vez que una descripción de los usos específicos de las distintas religiones en su literatura.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-092
Violaciones a los derechos humanos en el pasado reciente argentino: memorias de mujeres (1976-actualidad),"Álvarez, Victoria - Tornay, Lizel",S/D,vigente,FILO:CyT,"El presente proyecto se propone reflexionar sobre las violaciones a los derechos humanos cometidas durante la dictadura militar argentina desde una perspectiva de género, prestando especial atención a las posibilidades que tuvieron las sobrevivientes, familiares y otras víctimas del terrorismo de Estado de narrar sus experiencias y de ser escuchadas (a lo que le llamaremos ""marcos sociales de escucha"") en distintos ámbitos desde las primeras denuncias realizadas durante la dictadura, en Argentina y en el exterior, hasta la actualidad. De esta forma nos proponemos, en primer lugar, reconstruir las experiencias que atravesaron las detenidas en los centros clandestinos de detención durante la última dictadura, vinculadas a su condición de género. Al mismo tiempo analizaremos las resistencias que pudieron llevar a cabo en aquel contexto y la importancia que le atribuyen a la posibilidad de dar cuenta de las mismas. En segundo lugar, indagaremos en las memorias de otras víctimas del terrorismo de Estado (entre ellas familiares, exiliadas y presas políticas) a fin de analizar en qué medida sus experiencias y sus memorias estuvieron (y están) atravesadas por cuestiones vinculadas al género. De estas experiencias, pretendemos enfocarnos en primer lugar en las distintas formas de violencia genérico-sexual a las que las detenidas, presas y familiares fueron sometidas, reflexionando sobre las huellas que estas formas específicas de violencia dejaron en sus memorias. Asimismo examinaremos de qué forma la experiencia traumática del terrorismo de Estado implicó continuidades y cambios en las formas de pensar las familias, las maternidades, la crianza, el rol social y político de las mujeres y su protagonismo en la esfera pública, observando el lugar que estas cuestiones ocupan en sus memorias personales y reflexionando sobre su presencia (o ausencia) en las representaciones y memorias sociales.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-033
Variación y normativa. La conceptualización de la cantidad como estrategia creativa de los hablantes en el uso de la lengua,"Barbeito, Vanina Andrea - Peri, Silvina ",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-115
"Intersecciones entre Feminismos, Derecho y Literatura en la contemporanidad latinoamericana","Bianchi, Paula - Costa, Malena",S/D,vigente,FILO:CyT,"De esta forma nos proponemos, en primer lugar, reconstruir las experiencias que atravesaron las detenidas en los centros clandestinos de detención durante la última dictadura, vinculadas a su condición de género. Al mismo tiempo analizaremos las resistencias que pudieron llevar a cabo en aquel contexto y la importancia que le atribuyen a la posibilidad de dar cuenta de las mismas.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-012
Armonia mundi: representaciones literarias y cosmovisiones filosóficas en la Antigüedad Tardía y la Edad Media,"Cardigni, Julieta - Bohdziewicz, Soledad",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-040
"La vida de Santa Osith, virgen y mártir: traducción, edición y estudio de una leyenda hagiográfica de la inglaterra bajomediaval (siglo XII-XIV). Hacia una reconsideración de la relevancia de la hagiografía de la emergencia de las literaturas en lengua vernácula","Dumas, María - Alcatena, María Eugenia",S/D,vigente,FILO:CyT,"En segundo lugar, indagaremos en las memorias de otras víctimas del terrorismo de Estado (entre ellas familiares, exiliadas y presas políticas) a fin de analizar en qué medida sus experiencias y sus memorias estuvieron (y están) atravesadas por cuestiones vinculadas al género.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-073
Cuenta palabras: Diccionario de frecuencia léxica infantil para el español rioplatense,"Fumagalli, Julieta - Sánchez, María Elina",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-049
"Fonética, Fonología y Gramática: estudio de la prosodia del español de Buenos Aires (marcadores discursivos y pronombres enclíticos) desde un Enfoque Cognitivo Prototípico","Trípodi, Noemí Mónica",S/D,vigente,FILO:CyT,"De estas experiencias, pretendemos enfocarnos en primer lugar en las distintas formas de violencia genérico-sexual a las que las detenidas, presas y familiares fueron sometidas, reflexionando sobre las huellas que estas formas específicas de violencia dejaron en sus memorias. Asimismo examinaremos de qué forma la experiencia traumática del terrorismo de Estado implicó continuidades y cambios en las formas de pensar las familias, las maternidades, la crianza, el rol social y político de las mujeres y su protagonismo en la esfera pública, observando el lugar que estas cuestiones ocupan en sus memorias personales y reflexionando sobre su presencia (o ausencia) en las representaciones y memorias sociales.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-016
Métodos cuantitativos en el estudio del lenguaje,"Güemes, María Mercedes",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-064
"Experiencia y narración: cruces, intercambios y polémicas entre la teoría literaria y la literatura","Kohan, Martín Diego - Imperatore, Adriana",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-071
Las reescrituras críticas del modelo de la novela de formación alemana: variaciones y concomitancias entre el Romanticismo y la época de la Primera Guerra Mundial,"Koval, Martín - Ferrari, Mariela","Alippe, Silvina - Lenga, Jésica - Pascansky, Gabriel - Pau, Juan - Prado, Dante - Rey Callone, Natalia
",vigente,FILO:CyT,"Este proyecto estudia la crítica y/o parodia del modelo de la novela de formación, o, en alemán, Bildungsroman, en dos momentos de la historia literaria alemana: el Romanticismo y las primeras tres décadas del siglo XX. Existe, en efecto, una suerte de “afinidad electiva” entre ambos periodos, que se constata en el rechazo –por muy diversos motivos, en uno y otro caso– del ideal de formación ilustrado-clasicista representado en una de las novelas centrales de la literatura alemana de todos los tiempos: Los años de aprendizaje de Wilhelm Meister (1795/96), de J. W. Goethe. El actual proyecto supone una contribución al estudio de la recepción de esta obra, pero el foco no está puesto allí, sino en un abordaje comparativo de un corpus de novelas de aquellos dos periodos.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-109
"Crítica de la literatura, crítica de la cultura: intersecciones entre la cultura posdictadura y pensamiento crítico del Sur global","Maradei, Guadalupe - Risler, Julia",S/D,vigente,FILO:CyT,"El proyecto se orienta a relevar, describir y analizar los alcances y límites de las acciones y conceptualizaciones que ha desplegado la crítica literaria y cultural en la cultura argentina posdictadura, con el propósito de contribuir a una historia de la crítica vernácula y de su rol en la renovación de las contiendas culturales del Sur global. En tal sentido, hará foco en los modos de leer que la crítica del período ha puesto en juego, en torno a: I) los problemas vinculados con la/s memoria/s del pasado reciente, que involucran tanto las configuraciones culturales de la desaparición forzada, del exilio, el duelo, el trauma y el testimonio como los discursos ligados a las luchas por la memoria, la verdad y la justicia; II) los debates acerca de las transformaciones de las poéticas realistas y de vanguardia y su enlace tanto con problemas de nominalización (por ejemplo, en las múltiples adjetivaciones del realismo: “realismo idiota”, “realismo delirante”, “realismo críptico”, “realismo equívoco”, “realismo auténtico”, “realismo como subterfugio”, etc.) como con cuestionamientos al estatuto del arte y la literatura, especialmente en las llamadas neo y posvanguardias y sus vínculos con el activismo artístico y la micropolítica; III) las transformaciones culturales derivadas de la búsqueda de ampliación de derechos civiles y sociales como parte de la recuperación democrática y la consecuente reflexión en torno a la relación dialéctica entre desigualdad social y diferencias culturales (clase, raza, género, entre otras). ",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-060
Representaciones y apropiaciones de la Antigüedad clásica en la historieta argentina,"Martignone, Hernán",S/D,vigente,FILO:CyT,"En el presente proyecto se analizarán los modos en los que una serie de autores y autoras de historieta de la Argentina de los siglos XX y XXI representaron la cultura clásica grecolatina o se apropiaron de ella para sus propios proyectos historietísticos. Tomaremos obras que, como El Eternauta, utilizan textos o personajes de dicha cultura como método compositivo; otras que, como Mort Cinder: la batalla de las Termópilas o Julio César,toman episodios o figuras históricos para presentarlos desde una nueva perspectiva; algunas que, como Los clásicos según Fontanarrosa, se enfocan en el carácter parodiable de ciertos tópicos provenientes de la Antigüedad y que ya forman parte de la cultura universal. ",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-038
Oficios intelectuales en la Argentina del siglo XIX,"Martínez Gramuglia, Pablo",S/D,vigente,FILO:CyT,"Este proyecto se propone abordar el estudio del siglo XIX en el territorio argentino y regiones cercanas a partir del análisis de un conjunto acotado de letrados, con el fin de evaluar las posibilidades de sentido que los oficios intelectuales abren para la lectura de textos considerados en su densidad material, no solo como tramas de lenguaje sino también de conflictos sociales y matrices culturales de larga duración. Distintos acercamientos a la historia intelectual han puesto el énfasis en el carácter material de su producción (historia del libro), en la historicidad de los géneros discursivos (historia literaria), el uso y cruce de los géneros discursivos en narrativas estratégicas (crítica literaria) y en la circulación de sujetos (sociología de la lectura, sociología de los intelectuales). Proponemos vincular los derroteros biográficos, marcados por múltiples intereses y necesidades (económicas, políticas, sociales y culturales), con los textos que ellos produjeron, que, lejos de ser el producto cerrado de un proceso mental, lingüístico o ideológico, fueron más bien los instantes supervivientes de un devenir textual y material. Pondremos énfasis en los oficios intelectuales, entendidos como prácticas vinculadas a zonas de menor prestigio, susceptibles de evaluaciones laborales y ligadas al pane lucrando: la edición, la traducción, la historiografía como trabajo de archivo, la crítica literaria, la actividad diplomática, la docencia. El ejercicio de estos oficios, sin embargo, implicaba una intervención concreta en el campo cultural, en algunas ocasiones más importante que la publicación de una obra propia, en otras solidaria con ella, en otras, en fin, que la reemplazan por completo. Paralelas a la producción discursiva en un sentido lato, esas prácticas legitimaban y construían figuras de letrado cargadas de sentido a la hora de intervenir en discusiones públicas. Con el concepto de oficio intelectual buscamos problematizar el lugar de enunciación de esos letrados en el contexto de la organización de los Estados nacionales, proceso que demandó sus habilidades como peritos en el manejo del discurso.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-041
"Régimen escópico, cuerpo, lenguaje y política en la literatura y las artes latinoamericanas contemporáneas","Montes, Alicia Susana - Ares, María Cristina",S/D,vigente,FILO:CyT,"La cultura contemporánea está marcada por dominantes que hacen visible la crisis de los paradigmas de pensamiento logocéntricos y las concomitantes estéticas oculocentristas que caracterizaron a Occidente, cuya vocación totalitaria fue la omnividencia (Virilio, 1989), sobre todo a partir de la Modernidad (Jay, 2007). Este desplazamiento implica una figuración de lo sensible que desplaza de su lugar central a la mirada (gaze) y su perspectiva de altura, absoluta, jerárquica y objetivante, poniendo como punto de fuga la precariedad del cuerpo, como así también la pluralidad de sentidos que lo constituyen. Por medio de esta sensorialidad, la corporeidad se vincula con el mundo del que forma parte en tanto ineludible forma de la existencia (Nancy, 2000; Le Breton, 1990). Este corrimiento de la mirada absoluta a la opacidad del cuerpo implica una política antihumanista que se vincula con una creciente desconfianza en la razón y la perspectiva antropocéntrica y tiene como correlato la valorización de la común animalidad de lo viviente (Derrida, 2008; Cragnolini, 2010; Robert Moraes, 2017). La caída de esa mirada, situada en ningún lugar, cuya categoría central es el espacio, trae aparejada la preeminencia de una percepción encarnada y atravesada por el tiempo. Por ello, el acento se coloca en lo que fluye, muta, deriva y se encuentra entregado a un devenir sin telos (Deleuze,1976; Virilio, 1989). Las artes y la literatura latinoamericanas contemporáneas figuran este cambio trazando un gesto de apropiación caníbal de la cultura europea (Reyes, 2011) y consolidando un régimen estético que redistribuye los cuerpos según una lógica difusa (fuzzy logic) centrada en la multiplicidad y el multivalor y cuyos procedimientos están singularizados por la ambivalencia (Fischer Pfaeffle, 2003). Colocan en primer plano el deseo, el exceso, la expansión de límites, el juego de espejos, el rizoma, la paradoja, el quiasmo, la metalepsis y otras formas características del carnaval (neo)barroco/so (Calabrese, 1994; Sarduy, 1974; Deleuze, 1988; Perlongher, 2004). En este sentido, es nuestro objetivo constituir un corpus de trabajo en el que dialoguen las artes audiovisuales y la literatura contemporáneas latinoamericanas, con el fin de preguntarle a estos materiales que régimen escópico los organiza y qué política de los cuerpos emerge en la mudez habladora de sus tropos, a modo de pensamiento no pensado (Rancière, 2010). ",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-002
La distinción argumento-adjunto a través de distintos dominios gramaticales,"Muñoz Pérez, Carlos",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-062
"La enseñanza de la literatura clásica en los nivelos medio y superior no universitario: ESI, canon y género literario","Palacio, Jimena",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-025
Variación lingüística y problemática del contacto en el entorno escolar: el español andino en la Ciudad de Buenos Aires,"Risco Chumpitazi, Olga Roxana - García Jurado, María Amalia",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-003
"Poesía en los noventa y literaturas latinoamericanas: lecturas, conexiones y rescrituras","Rodríguez Baigorria, Martín Carlos - Shere, María Jimena ",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-061
"Desarrollo del lenguaje, de la función referencial y de la memoria operativa: comparación de niños con desarrollo típico y atípico (síndorme de Asperger). Aportes desde una perspectiva cognitiva - funcional","Silva, María Luisa - Raiter, Alejandro",S/D,vigente,FILO:CyT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-037
La literatura como medio y la ficcionalización de lo medial: arqueología de medios y estudios literarios,"Vilar, Mariano Alejandro - Fernández Riva, Gustavo",S/D,vigente,FILO:CyT,"Como lectores formados en una cultura transmedial, desde una cotidianeidad cada vez más profundamente atravesada por las lógicas de lo digital y lo audiovisual, resulta evidente que la literatura se ve alterada por los cambios que se producen en el sistema de medios del que forma parte. Nuestro vínculo con las tecnologías de la escritura y la lectura conforma un continuo experiencial con el resto de las nuevas tecnologías que participan de la vida cultural, que generan imaginarios a menudo novedosos. El análisis de la manera en que estos fenómenos se afectan mutuamente ha sido abordado por un grupo de autores/as que estudian la historia de los medios retomando algunas de las hipótesis centrales de Marshall McLuhan (1964) y poniéndolas en diálogo con diferentes movimientos teóricos asociados con el postestructuralismo francés. Desde esa perspectiva, propuestas como la de Friedrich Kittler (2006 [1986]), Jussi Parikka (2012) y Andrew Burkett (2016) –tan diversas en otros aspectos– se han abocado a pensar en términos “arqueológicos” (de acuerdo al uso de este término que aparece en autores como Foucault o Agamben) las distintas maneras en las que la literatura y la ficción se han ocupado de hacer visibles los presupuestos y condiciones de posibilidad de los que depende la cultura mediática contemporánea. A su vez, es necesario considerar que los avances en la tecnología digital han modificado de forma evidente el modo en que se produce, distribuye y consume literatura. Esto produjo nuevos acercamientos teóricos al fenómeno literario, ya no solo desde el punto de vista del “autor” o la “recepción”, sino con el foco puesto en la mediatización. En la construcción de ficciones, hoy se observa un diálogo entre lectores/as y escritores/as mucho más imbricado en la productividad narrativa. Los mundos ficcionales se ven afectados en su composición por la velocidad propia de los medios: el análisis de algoritmos de consumo, la masividad en la difusión de ficciones alternativas como los fanfiction, el retorno de la centralidad de la serialidad, la multiplicación y el crecimiento en la actualidad de la variedad de medios que transmiten un mismo relato, la proliferación de reversiones o precuelas que juegan con textualidades precedentes; por mencionar unos pocos ejemplos. Nuestra propuesta consiste en pensar los problemas de la teoría literaria para abordar el estudio de la literatura en tanto medio y en tanto espacio para la creación de ficciones que conceptualizan los medios que la rodean y de los que forma parte. Para ello, partiremos de una serie de preguntas que apuntan a reflexionar cómo leemos, escribimos y conceptualizamos la ficción en el ecosistema mediático. ",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2019,2021,,FC19-079
"Lenguajes y subjetividad política en el primer peronismo. Nuevas miradas desde abajo y en clave local (Córdoba, Santiago del Estero, Río Negro y La Rioja)","Barros, Mercedes María",S/D,vigente,PIP,S/D,Facultad de Ciencias Políticas y Relaciones Internacionales; Universidad Católica de Córdoba,2016,2019,S/D,11220130100554CO
